N,D,E,Noise,mse
162,252,0.7,0.0,3.680611050634824
162,252,0.7,0.1,2.8639199746617
162,252,0.7,0.2,0.4600146941675653
162,252,0.8,0.0,3.680611050634824
162,252,0.8,0.1,3.291341856926442
162,252,0.8,0.2,0.4493287937949581
162,252,0.9,0.0,4.7299312293781774
162,252,0.9,0.1,2.775914631266021
162,252,0.9,0.2,0.3803374839630233
162,253,0.5,0.0,4.903571369364355
162,253,0.5,0.1,3.123880535699545
162,253,0.5,0.2,0.5929742048506998
162,253,0.6,0.0,4.903571369364355
162,253,0.6,0.1,3.371811447260169
162,253,0.6,0.2,0.3891377408968317
162,253,0.7,0.0,3.873702136308818
162,253,0.7,0.1,2.074446128076149
162,253,0.7,0.2,0.6739304985293266
162,253,0.8,0.0,5.264335466151886
162,253,0.8,0.1,2.821086349892587
162,253,0.8,0.2,0.307890202194983
162,253,0.9,0.0,4.903571369364355
162,253,0.9,0.1,3.430614304381597
162,253,0.9,0.2,0.570749602549899
163,251,0.5,0.0,2.5228712201675982
163,251,0.5,0.1,2.7953633472989186
163,251,0.5,0.2,0.7263391636469994
163,251,0.6,0.0,2.422219098578108
163,251,0.6,0.1,3.177978290588177
163,251,0.6,0.2,0.5808066536559657
163,251,0.7,0.0,2.394919089952904
163,251,0.7,0.1,2.7244693710245187
163,251,0.7,0.2,0.8165449215349856
163,251,0.8,0.0,2.564749636044665
163,251,0.8,0.1,2.856536086675529
163,251,0.8,0.2,0.2443170529288423
163,251,0.9,0.0,2.551583520462517
163,251,0.9,0.1,3.037454027593098
163,251,0.9,0.2,0.3120454790115161
163,252,0.5,0.0,2.847925911372302
163,252,0.5,0.1,2.7249847986534554
163,252,0.5,0.2,0.5555843872253732
163,252,0.6,0.0,2.7124983569628167
163,252,0.6,0.1,3.503792344152312
163,252,0.6,0.2,0.3918641812477279
163,252,0.7,0.0,2.6898156442996832
163,252,0.7,0.1,3.2554170627528585
163,252,0.7,0.2,0.2606731488359326
163,252,0.8,0.0,2.850858204286608
163,252,0.8,0.1,3.116532180052209
163,252,0.8,0.2,0.7684228252839063
163,252,0.9,0.0,2.7150744584014106
163,252,0.9,0.1,2.751947499982487
163,252,0.9,0.2,0.3865026279634094
163,253,0.5,0.0,2.5605351587566183
163,253,0.5,0.1,2.771171202731278
163,253,0.5,0.2,0.6817430291764772
163,253,0.6,0.0,2.426955137851221
163,253,0.6,0.1,2.607782192807022
163,253,0.6,0.2,0.5904895110176458
163,253,0.7,0.0,2.399774855688573
163,253,0.7,0.1,3.636451789597922
163,253,0.7,0.2,0.7663077946345886
163,253,0.8,0.0,2.5251420003160447
163,253,0.8,0.1,2.954047518645876
163,253,0.8,0.2,0.7115679859080455
163,253,0.9,0.0,2.482408928498163
163,253,0.9,0.1,3.0007417179671787
163,253,0.9,0.2,0.2673315695814438
101,291,0.5,0.0,2.645734357347779
101,291,0.5,0.1,2.617992579872171
101,291,0.5,0.2,0.4207694197509095
101,291,0.6,0.0,2.625018267844222
101,291,0.6,0.1,2.323725144282468
101,291,0.6,0.2,0.0508319568980812
101,291,0.7,0.0,2.645734357347779
101,291,0.7,0.1,1.79150662035455
101,291,0.7,0.2,0.2656260014506291
101,291,0.8,0.0,2.5891516049377152
101,291,0.8,0.1,1.6298438298797784
101,291,0.8,0.2,0.1121604619289087
101,291,0.9,0.0,2.5580883830156047
101,291,0.9,0.1,2.473525271578556
101,291,0.9,0.2,0.0572599024713991
101,292,0.5,0.0,2.684986141589354
101,292,0.5,0.1,2.176755854674882
